Total Designs Scored, Generation #, Lineage 1 Score, Lineage 2 Score, Lineage 3 Score, Lineage 4 Score, Lineage 5 Score, Lineage 6 Score, Lineage 7 Score, Lineage 8 Score,
1544, 78, 154800, 197200, 219600, 171000, 252200, 205000, 267700, 208100, 
1568, 79, 154800, 197200, 219600, 171000, 252200, 205000, 267700, 208100, 
1584, 80, 154800, 197200, 219600, 171000, 252200, 205000, 267700, 208100, 
1608, 81, 154800, 197200, 219600, 171000, 252200, 205000, 267700, 208100, 
1624, 82, 154800, 197200, 219600, 171000, 252200, 205000, 267700, 208100, 
1648, 83, 154800, 197200, 219600, 171000, 252200, 205000, 267700, 208100, 
1664, 84, 154800, 197200, 219600, 171000, 305700, 205000, 267700, 208100, 
1688, 85, 154800, 197200, 219600, 171000, 233600, 205000, 267700, 208100, 
1704, 86, 154800, 197200, 219600, 171000, 233600, 205000, 267700, 208100, 
1728, 87, 154800, 197200, 219600, 171000, 233600, 205000, 247500, 208100, 
1744, 88, 154800, 197200, 219600, 171000, 233600, 205000, 247500, 208100, 
1768, 89, 154800, 197200, 219600, 171000, 233600, 205000, 247500, 208100, 
1784, 90, 154800, 197200, 219600, 171000, 233600, 205000, 247500, 208100, 
1808, 91, 154800, 197200, 219600, 171000, 233600, 193000, 247500, 208100, 
1824, 92, 154800, 197200, 219600, 171000, 233600, 193000, 247500, 208100, 
1848, 93, 154800, 197200, 219600, 171000, 233600, 193000, 247500, 208100, 
1864, 94, 154800, 197200, 219600, 171000, 233600, 193000, 247500, 208100, 
1888, 95, 154800, 197200, 219600, 171000, 233600, 193000, 247500, 208100, 
1904, 96, 154800, 197200, 219600, 171000, 233600, 193000, 247500, 208100, 
1928, 97, 154800, 197200, 219600, 171000, 223700, 193000, 247500, 208100, 
1944, 98, 154800, 197200, 219600, 171000, 223700, 193000, 247500, 208100, 
1968, 99, 154800, 197200, 219600, 171000, 223700, 193000, 247500, 208100, 
1984, 100, 154800, 197200, 219600, 171000, 223700, 193000, 247500, 208100, 
2008, 101, 154800, 197200, 219600, 171000, 223700, 193000, 247500, 208100, 
2024, 102, 154800, 197200, 219600, 171000, 223700, 193000, 247500, 208100, 
2048, 103, 154800, 197200, 219600, 171000, 223700, 193000, 247500, 208100, 
2064, 104, 154300, 197200, 219600, 171000, 223700, 193000, 247500, 208100, 
2088, 105, 154300, 197200, 219600, 171000, 223700, 193000, 247500, 208100, 
2104, 106, 154300, 197200, 219600, 171000, 223700, 193000, 247500, 208100, 
2128, 107, 154300, 197200, 219600, 171000, 223700, 193000, 247500, 208100, 
2144, 108, 154300, 197200, 219600, 171000, 223700, 189000, 247500, 208100, 
2168, 109, 154300, 197200, 219600, 171000, 223700, 189000, 247500, 208100, 
2184, 110, 154300, 197200, 219600, 171000, 218100, 189000, 247500, 208100, 
2208, 111, 154300, 197200, 219600, 171000, 218100, 189000, 247500, 208100, 
2224, 112, 154300, 197200, 219600, 171000, 218100, 189000, 247500, 208100, 
2248, 113, 154300, 197200, 219600, 171000, 218100, 189000, 247500, 208100, 
2264, 114, 154300, 197200, 219600, 171000, 218100, 189000, 247500, 208100, 
2288, 115, 154300, 197200, 219600, 171000, 218100, 189000, 247500, 208100, 
2304, 116, 154300, 197200, 216700, 171000, 218100, 189000, 247500, 208100, 
2328, 117, 154300, 197200, 216700, 171000, 218100, 189000, 247500, 208100, 
2344, 118, 154300, 197200, 216700, 171000, 218100, 189000, 247500, 208100, 
2368, 119, 154300, 197200, 216700, 171000, 218100, 189000, 247500, 208100, 
2384, 120, 154300, 197200, 216700, 171000, 218100, 189000, 247500, 186900, 
2408, 121, 154300, 197200, 216700, 171000, 218100, 189000, 247500, 186900, 
2424, 122, 154300, 197200, 215500, 171000, 218100, 189000, 247500, 186900, 
2448, 123, 154300, 197200, 215500, 171000, 218100, 189000, 247500, 186900, 
2464, 124, 154300, 197200, 215500, 171000, 218100, 189000, 247500, 186900, 
2488, 125, 154300, 197200, 215500, 171000, 218100, 189000, 247500, 186900, 
2504, 126, 154300, 197200, 215500, 171000, 218100, 189000, 247500, 186900, 
2528, 127, 154300, 197200, 215500, 171000, 215700, 189000, 247500, 179300, 
