//	Structure for each line:
//	Number	-tab-	Name	-tab-	"Recipe"
//	Strand names will be strings, but are not allowed to contain spaces. Strand names must start with a letter.
// "Recipe" will be a space separated list of domains which compose a given strand. All recipes should be entered 5' to 3'. The notation "c." can be used to represent the compliment of a given domain.	
1	Scaffold m13mp18
81	S-dNAM03-1d-W-A32	c.ProbeAvar c.T TT d-dNAM03-1d-W-A32
82	S-dNAM03-1d-W-A33	c.ProbeAvar c.T TT d-dNAM03-1d-W-A33
83	S-dNAM03-1d-W-A34	c.ProbeAvar c.T TT d-dNAM03-1d-W-A34
84	S-dNAM03-1d-W-A35	c.ProbeAvar c.T TT d-dNAM03-1d-W-A35
85	S-dNAM03-1d-W-A36	c.ProbeAvar c.T TT d-dNAM03-1d-W-A36
86	S-dNAM03-1d-W-A37	c.ProbeAvar c.T TT d-dNAM03-1d-W-A37
87	S-dNAM03-1d-W-A38	c.ProbeAvar c.T TT d-dNAM03-1d-W-A38
88	S-dNAM03-1d-W-A39	c.ProbeAvar c.T TT d-dNAM03-1d-W-A39
89	S-dNAM03-1d-W-A40	c.ProbeAvar c.T TT d-dNAM03-1d-W-A40
90	S-dNAM03-1d-W-A41	c.ProbeAvar c.T TT d-dNAM03-1d-W-A41
91	S-dNAM03-1d-W-A42	c.ProbeAvar c.T TT d-dNAM03-1d-W-A42
92	S-dNAM03-1d-W-A43	c.ProbeAvar c.T TT d-dNAM03-1d-W-A43
93	S-dNAM03-1d-W-A44	c.ProbeAvar c.T TT d-dNAM03-1d-W-A44
94	S-dNAM03-1d-W-A45	c.ProbeAvar c.T TT d-dNAM03-1d-W-A45
95	S-dNAM03-1d-W-A46	c.ProbeAvar c.T TT d-dNAM03-1d-W-A46
96	S-dNAM03-1d-W-A47	c.ProbeAvar c.T TT d-dNAM03-1d-W-A47
97	S-dNAM03-1d-W-A48	c.ProbeAvar c.T TT d-dNAM03-1d-W-A48
98	S-dNAM03-1d-W-B01	c.ProbeBvar c.T TT d-dNAM03-1d-W-B01
